Age,Income,Employment_Status,Education_Level,Marital_Status,Number_of_Dependents,Credit_Utilization_Ratio,Missed_Payments_90days,Total_Credit_Accounts,Debt_to_Income_Ratio,Length_of_Credit_History,Bankruptcies,Credit_Score,Credit_Score_Label
22,75482.56,Retired,Master,Single,3,6.09,3,9,46.0,15.3,0,507.6216666666666,Poor
55,69316.62,Self-Employed,Master,Married,4,23.42,3,8,55.29,19.6,0,553.86,Poor
28,56580.82,Employed,High School,Divorced,1,9.03,4,12,46.18,18.5,0,504.0916666666667,Poor
28,69104.37,Self-Employed,Bachelor,Married,4,6.07,4,13,56.15,11.5,0,300.0,Poor
63,138540.81,Retired,Bachelor,Divorced,2,44.75,4,4,46.6,9.6,0,300.0,Poor
34,31347.72,Self-Employed,Master,Married,2,62.56,4,11,35.75,15.8,0,467.8033333333333,Poor
38,92373.81,Retired,PhD,Married,4,13.52,4,4,56.91,18.4,0,557.27,Poor
24,98079.24,Retired,Bachelor,Divorced,4,41.02,4,10,21.37,7.4,0,423.3666666666667,Poor
52,82538.04,Unemployed,Master,Divorced,4,37.7,4,11,30.6,17.9,0,397.9500000000001,Poor
23,118812.23,Retired,Master,Single,4,43.47,3,11,36.57,12.6,0,441.075,Poor
45,115007.83,Employed,PhD,Divorced,3,64.72,1,3,9.29,14.2,0,514.5433333333333,Poor
23,69309.74,Unemployed,High School,Married,3,65.13,2,2,45.94,14.2,0,573.1216666666667,Poor
42,127186.83,Self-Employed,Bachelor,Divorced,3,60.31,3,2,41.8,11.2,0,314.91166666666663,Poor
46,58947.47,Employed,PhD,Single,3,75.15,1,5,49.49,7.5,0,545.9283333333333,Poor
67,103580.32,Self-Employed,Bachelor,Single,3,9.43,4,12,9.76,9.1,0,437.0316666666667,Poor
31,27529.66,Employed,PhD,Single,1,17.87,2,10,40.53,1.8,1,300.0,Poor
55,88946.07,Self-Employed,Master,Married,1,13.1,1,10,11.99,19.5,0,505.4533333333333,Poor
40,125789.62,Self-Employed,PhD,Single,0,48.79,3,3,32.3,17.2,0,571.8383333333334,Poor
52,69900.13,Unemployed,Master,Married,3,74.31,0,13,14.39,15.5,1,337.04833333333335,Poor
28,25298.03,Employed,Bachelor,Married,0,42.68,3,12,7.86,7.9,0,388.04,Poor
57,87769.09,Unemployed,Master,Married,4,9.57,0,2,8.95,1.3,0,550.2316666666667,Poor
59,148891.79,Employed,PhD,Divorced,3,11.32,1,6,21.68,15.9,0,429.1133333333333,Poor
24,38202.41,Self-Employed,Bachelor,Divorced,0,50.92,1,13,20.71,1.0,0,373.6366666666667,Poor
44,40301.3,Employed,High School,Divorced,3,67.47,0,14,10.84,2.3,0,549.6516666666666,Poor
31,97271.46,Self-Employed,PhD,Divorced,0,34.76,0,9,31.79,3.6,0,427.0233333333333,Poor
66,85793.51,Unemployed,Bachelor,Married,2,28.06,0,6,32.65,5.8,0,520.0866666666667,Poor
62,144445.13,Employed,Master,Married,3,34.87,4,8,17.58,14.8,1,372.705,Poor
63,20160.77,Employed,Master,Single,3,12.68,2,5,23.86,1.1,0,397.7066666666667,Poor
33,57529.13,Retired,Bachelor,Married,3,27.48,4,13,18.53,3.5,0,560.0833333333334,Poor
63,112828.33,Unemployed,Master,Divorced,2,39.31,3,9,45.07,9.5,1,498.3216666666667,Poor
62,43996.07,Retired,Master,Married,1,14.11,4,3,28.31,2.7,0,300.0,Poor
28,34184.25,Self-Employed,Master,Divorced,4,77.16,3,2,34.26,14.2,0,461.0,Poor
49,122701.76,Retired,High School,Married,2,28.8,0,4,29.69,10.4,0,457.7033333333334,Poor
39,69728.42,Unemployed,Master,Single,0,44.96,1,7,27.2,14.7,0,407.4533333333333,Poor
60,119917.97,Unemployed,Bachelor,Divorced,0,68.82,2,13,49.41,4.4,0,345.12,Poor
33,53667.74,Self-Employed,High School,Married,4,33.95,4,1,22.63,16.6,0,317.4816666666667,Poor
29,95521.17,Retired,Bachelor,Divorced,3,64.39,3,9,9.91,9.0,0,396.50166666666667,Poor
67,103580.32,Self-Employed,Bachelor,Single,3,9.43,4,12,9.76,9.1,0,437.0316666666667,Poor
53,69454.56,Retired,High School,Married,0,41.93,4,12,19.77,10.2,1,300.0,Poor
34,31347.72,Self-Employed,Master,Married,2,62.56,4,11,35.75,15.8,0,467.8033333333333,Poor
43,144621.53,Unemployed,Master,Divorced,3,39.47,1,4,23.35,5.9,0,330.4816666666666,Poor
53,89238.33,Self-Employed,High School,Single,3,9.78,3,12,34.51,5.0,0,517.6066666666667,Poor
21,114227.45,Employed,Master,Divorced,3,78.56,4,13,19.43,9.3,0,300.0,Poor
20,28531.4,Retired,High School,Single,0,38.84,1,14,34.0,4.3,0,300.0,Poor
21,113399.45,Self-Employed,PhD,Married,2,32.35,3,6,9.15,17.0,0,334.775,Poor
27,36176.88,Self-Employed,High School,Divorced,0,51.53,4,2,40.7,17.4,0,310.6683333333333,Poor
58,58241.84,Employed,Master,Married,2,25.59,4,7,50.96,2.6,0,367.2183333333333,Poor
29,22603.43,Retired,Bachelor,Single,3,5.79,3,10,57.88,10.8,0,357.8116666666667,Poor
43,40701.95,Self-Employed,High School,Divorced,4,60.8,4,2,22.04,2.0,0,459.2533333333333,Poor
62,132257.36,Self-Employed,Bachelor,Married,1,63.94,0,5,12.24,10.8,0,406.95,Poor
47,33363.01,Self-Employed,Bachelor,Divorced,3,79.39,3,7,8.88,3.4,0,428.345,Poor
